,m1,m2,m4,m6,m7,m8,m9,m11,m13,m14,m15,m16,m17,m18,m19,m20
m1,,,,,x,x,x,,,,x,,,,,x
m2,x,,,,x,x,x,,,,x,,,,,x
m4,x,x,,,x,x,x,x,x,,x,,,,,x
m6,x,,,,x,x,x,,,,x,,,,,x
m7,x,,,,,x,x,,,,x,,,,,x
m8,x,,,,x,,x,,,,x,,,,,x
m9,,,,,,,,,,,x,,,,,x
m11,x,,,,x,x,x,,x,,x,,,,,x
m13,,,,,,,x,,,,x,,,,,x
m14,,,,,,,x,,,,x,,,,,x
m15,,,,,,,x,,,,,,,,,x
m16,x,,,x,x,x,x,,,x,x,,x,x,,x
m17,x,,,x,x,x,x,,,x,x,x,,x,,x
m18,x,,,x,x,x,x,,,x,x,x,x,,,x
m19,x,x,,x,x,x,x,x,x,x,x,x,x,x,,x
m20,,,,,,,x,,,,x,,,,,
