,m1,m2,m4,m6,m7,m8,m9,m11,m13,m14,m15,m16,m17,m18,m19,m20
m1,,,,,,,,,,,,,x,,,
m2,x,,,,,,,,,,x,,x,,,
m4,x,x,,,,,,,x,x,x,x,x,,,
m6,x,,,,,,,,,,x,,x,,,
m7,x,,,,,,,,,,,,,,x,
m8,x,,,,,,,,,,x,,,,,
m9,,,,,,,,,,,,,,,,
m11,x,,,,,,,,,,x,,,,x,
m13,x,,,,,,,,,,,,x,,,
m14,,,,,,,,,,,,,,,,
m15,,,,,,,,,,,,,,,,
m16,x,,,,,,,x,x,,x,,,,,
m17,x,,,,,,,x,x,,x,,,,,
m18,,,,,,,,,,,,,,,,
m19,x,x,,,,x,x,,x,x,x,x,x,x,x,
m20,,,,,,,,,,,,,,,,
